Year,Open,High,Low,Close,Volume
2025,93425.10,125559.21,74436.68,,13934801190912
2024,42280.23,108268.45,38521.89,93429.20,13702706233344
2023,16547.91,44705.52,16521.23,42265.19,6661594415104
2022,46311.75,48086.84,15599.05,16547.50,10954843619328
2021,28994.01,68789.62,28722.76,46306.45,17211847606272
2020,7194.89,29244.88,4106.98,29001.72,12086514024448
2019,3746.71,13796.49,3391.02,7193.60,6106629799936
2018,14112.20,17712.40,3191.30,3742.70,2213197119488
2017,963.66,20089.00,755.76,14156.40,869747130368
2016,430.72,979.40,354.91,963.74,31448358912
2015,320.43,495.56,171.51,430.57,12375536640
2014,754.97,1017.12,289.30,320.19,9159177216
2013,13.55,1156.14,11.59,754.01,149732464
2012,4.61,17.76,3.77,13.53,20229866
2011,,5.42,2.57,4.61,1339658
